id,order_id,product_id,quantity,supply_cost
1,1,1,2,3.00
2,1,3,1,4.50
3,2,2,1,2.00
4,2,5,2,3.50
5,3,4,1,5.00
6,3,1,3,3.00
7,3,7,1,6.00
8,4,2,2,2.00
9,4,6,1,4.00
10,5,3,2,4.50
11,5,8,1,7.00
12,5,1,1,3.00
13,6,5,1,3.50
14,7,9,2,8.00
15,7,4,1,5.00
16,7,2,1,2.00
17,8,1,1,3.00
18,8,6,1,4.00
19,9,7,2,6.00
20,9,3,1,4.50
21,9,10,1,5.50
22,10,2,2,2.00
23,10,8,1,7.00
24,11,5,1,3.50
25,11,1,2,3.00
26,12,9,1,8.00
27,12,4,1,5.00
28,13,3,1,4.50
29,14,6,3,4.00
30,14,2,1,2.00
31,14,10,2,5.50
32,15,1,1,3.00
33,16,7,2,6.00
34,16,5,1,3.50
35,17,8,1,7.00
36,17,3,1,4.50
37,18,4,2,5.00
38,18,9,1,8.00
39,19,2,1,2.00
40,19,6,2,4.00
41,20,1,1,3.00
42,20,10,1,5.50
43,21,3,3,4.50
44,21,7,1,6.00
45,22,5,1,3.50
46,23,8,2,7.00
47,23,1,1,3.00
48,24,4,1,5.00
49,25,9,2,8.00
50,25,2,1,2.00
51,26,6,1,4.00
52,26,3,2,4.50
53,27,1,1,3.00
54,27,10,1,5.50
55,28,7,3,6.00
56,28,5,1,3.50
57,29,2,1,2.00
58,30,8,2,7.00
59,30,4,1,5.00
60,30,1,1,3.00
