id,customer_id,ordered_at,store_id,order_total
1,1,2023-01-01,1,20.00
2,3,2023-01-02,2,15.50
3,5,2023-01-04,1,32.00
4,1,2023-01-05,3,28.00
5,2,2023-01-10,2,45.00
6,4,2023-01-11,1,12.00
7,7,2023-01-15,4,55.00
8,8,2023-01-18,2,18.50
9,1,2023-02-01,1,42.00
10,3,2023-02-05,3,22.00
11,6,2023-02-10,5,35.00
12,9,2023-02-12,1,28.50
13,10,2023-02-15,4,15.00
14,2,2023-02-20,2,62.00
15,5,2023-03-01,3,19.00
16,4,2023-03-05,1,38.00
17,7,2023-03-10,5,27.50
18,8,2023-03-12,2,44.00
19,1,2023-03-15,1,31.00
20,6,2023-03-20,4,25.00
21,3,2023-04-01,3,50.00
22,9,2023-04-05,1,16.50
23,10,2023-04-10,2,39.00
24,2,2023-04-15,5,22.50
25,5,2023-04-20,1,47.00
26,4,2023-05-01,4,33.00
27,7,2023-05-05,2,21.00
28,1,2023-05-10,3,58.00
29,8,2023-05-15,1,14.50
30,6,2023-05-20,5,41.00
